"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","484","飯香岡八幡宮本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町中期","19540917","","千葉県","千葉県市原市八幡","","飯香岡八幡宮","","35.53752073000000","140.11778724000000"
"102","496","石堂寺","多宝塔","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19920810","","千葉県","千葉県南房総市石堂","","石堂寺","","35.05198780000000","139.95803885000000"
"102","495","石堂寺","本堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19160524","","千葉県","千葉県南房総市石堂","","石堂寺","","35.05205687000000","139.95785403000000"
"102","497","石堂寺薬師堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19680425","","千葉県","千葉県南房総市石堂","","石堂寺","","35.05211082000000","139.95838652000000"
"102","00005232","犬吠埼灯台","灯台","国宝・重要文化財（建造物）","重要文化財","近代／産業・交通・土木","","明治","20201223","","千葉県","千葉県銚子市犬吠埼九五七六番地","","国（海上保安庁）","","35.70675194000000","140.86673583000000"
"102","00005233","犬吠埼灯台","旧霧笛舎","国宝・重要文化財（建造物）","重要文化財","近代／産業・交通・土木","","明治","20201223","","千葉県","千葉県銚子市犬吠埼九五七六番地","","国（海上保安庁）","","35.70675194000000","140.86673583000000"
"102","00005234","犬吠埼灯台","旧倉庫","国宝・重要文化財（建造物）","重要文化財","近代／産業・交通・土木","","明治","20201223","","千葉県","千葉県銚子市犬吠埼九五七六番地","","国（海上保安庁）","","35.70675194000000","140.86673583000000"
"102","489","栄福寺薬師堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19540917","","千葉県","千葉県印旛郡本埜村角田","","栄福寺","","35.78815068000000","140.19348011000000"
"102","498","旧尾形家住宅（千葉県安房郡丸山町）","主屋","国宝・重要文化財（建造物）","重要文化財","近世以前／民家","","江戸中期","19690620","","千葉県","千葉県南房総市石堂301番地","","丸山町","","35.05336452000000","139.95797125000000"
"102","499","旧尾形家住宅（千葉県安房郡丸山町）","土間","国宝・重要文化財（建造物）","重要文化財","近世以前／民家","","江戸中期","19690620","","千葉県","千葉県南房総市石堂301番地","","丸山町","","35.05337364000000","139.95784438000000"
"102","472","旧学習院初等科正堂","","国宝・重要文化財（建造物）","重要文化財","近代／学校","","明治","19730602","","千葉県","千葉県成田市大竹字申内1451番地千葉県立房総のむら構内","","千葉県","","35.81954324000000","140.27563220000000"
"102","492","笠森寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19080801","","千葉県","千葉県長生郡長南町笠森","","笠森寺","","35.39962177000000","140.19897063000000"
"102","470","香取神宮","楼門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19831226","","千葉県","千葉県香取市香取","","香取神宮","","35.88572987000000","140.52886187000000"
"102","469","香取神宮","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19770627","","千葉県","千葉県香取市香取","","香取神宮","","35.88623409000000","140.52866887000000"
"102","00004037","旧徳川家松戸戸定邸","台所棟","国宝・重要文化財（建造物）","重要文化財","近代／住居","","明治","20060705","","千葉県","千葉県松戸市松戸642番地1","","松戸市","","35.77772960000000","139.89911361000000"
"102","00004038","旧徳川家松戸戸定邸","湯殿","国宝・重要文化財（建造物）","重要文化財","近代／住居","","明治","20060705","","千葉県","千葉県松戸市松戸642番地1","","松戸市","","35.77777243000000","139.89900415000000"
"102","00004042","旧堀田家住宅","書斎棟","国宝・重要文化財（建造物）","重要文化財","近代／住居","","明治","20060705","","千葉県","千葉県佐倉市鏑木町字諏訪尾余274番地","","佐倉市","","35.71401061000000","140.23562578000000"
